"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Sep 23 10:36:12 GMT 2022","Fri Sep 23 10:36:28 GMT 2022","15361","","Verify clickability buttons","","Verify clickability buttons","Should verify clickability buttons on contact center page","Should verify clickability buttons on contact center page",""
"passed","Fri Sep 23 10:37:05 GMT 2022","Fri Sep 23 10:37:07 GMT 2022","1775","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow solutions","should open pop-upwindow solutions",""
"passed","Fri Sep 23 10:37:12 GMT 2022","Fri Sep 23 10:37:14 GMT 2022","2539","","Verify tabs on home page without login","","Verify tabs on home page without login","should click on network tab and redirected to network page","should click on network tab and redirected to network page",""
"passed","Fri Sep 23 10:37:02 GMT 2022","Fri Sep 23 10:37:05 GMT 2022","2826","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow pricing","should open pop-upwindow pricing",""
"passed","Fri Sep 23 10:35:41 GMT 2022","Fri Sep 23 10:35:49 GMT 2022","7841","","Find price for SMS API for Ukraine","","Find price for SMS API for Ukraine","Check if the price for SMS API for Ukrain will change in Euro.","Check if the price for SMS API for Ukrain will change in Euro.",""
"passed","Fri Sep 23 10:36:42 GMT 2022","Fri Sep 23 10:36:48 GMT 2022","5562","","Verify saving calculator","","Verify saving calculator","Should verify saving calculator with messaging API","Should verify saving calculator with messaging API",""
"passed","Fri Sep 23 10:37:10 GMT 2022","Fri Sep 23 10:37:12 GMT 2022","1668","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow products","should open pop-upwindow products",""
"passed","Fri Sep 23 10:36:32 GMT 2022","Fri Sep 23 10:36:38 GMT 2022","5878","","Verify home page button","","Verify home page button","Should click about us button then home page button","Should click about us button then home page button",""
"passed","Fri Sep 23 10:37:07 GMT 2022","Fri Sep 23 10:37:09 GMT 2022","1604","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow resources","should open pop-upwindow resources",""
"passed","Fri Sep 23 10:37:09 GMT 2022","Fri Sep 23 10:37:10 GMT 2022","1663","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow company","should open pop-upwindow company",""
"passed","Fri Sep 23 10:36:52 GMT 2022","Fri Sep 23 10:36:57 GMT 2022","4992","","Verify search input on blog page","","Verify search input on blog page","Should click on blog button on the resources drop down menu and enter Number pool to search input","Should click on blog button on the resources drop down menu and enter Number pool to search input",""
"passed","Fri Sep 23 10:35:52 GMT 2022","Fri Sep 23 10:36:02 GMT 2022","9589","","Login negative tests","","Login negative tests","Login with invalid email","Login with invalid email",""
"passed","Fri Sep 23 10:36:02 GMT 2022","Fri Sep 23 10:36:07 GMT 2022","5082","","Login negative tests","","Login negative tests","Login with invalid password","Login with invalid password",""
"passed","Fri Sep 23 10:35:34 GMT 2022","Fri Sep 23 10:35:41 GMT 2022","7809","","Find price for SMS API for Ukraine","","Find price for SMS API for Ukraine","Should to show price for SIM for Ukraine in usd","Should to show price for SIM for Ukraine in usd",""
