"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 04 10:35:13 GMT 2022","Tue Oct 04 10:35:20 GMT 2022","7415","","Login negative tests","","Login negative tests","Login with invalid email","Login with invalid email",""
"passed","Tue Oct 04 10:36:28 GMT 2022","Tue Oct 04 10:36:30 GMT 2022","2878","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow pricing","should open pop-upwindow pricing",""
"passed","Tue Oct 04 10:35:20 GMT 2022","Tue Oct 04 10:35:26 GMT 2022","5643","","Login negative tests","","Login negative tests","Login with invalid password","Login with invalid password",""
"passed","Tue Oct 04 10:36:38 GMT 2022","Tue Oct 04 10:36:41 GMT 2022","3153","","Verify tabs on home page without login","","Verify tabs on home page without login","should click on network tab and redirected to network page","should click on network tab and redirected to network page",""
"passed","Tue Oct 04 10:34:44 GMT 2022","Tue Oct 04 10:34:53 GMT 2022","8699","","Find price for SMS API for Ukraine","","Find price for SMS API for Ukraine","Should to show price for SIM for Ukraine in usd","Should to show price for SIM for Ukraine in usd",""
"passed","Tue Oct 04 10:36:18 GMT 2022","Tue Oct 04 10:36:24 GMT 2022","6343","","Verify search input on blog page","","Verify search input on blog page","Should click on blog button on the resources drop down menu and enter Number pool to search input","Should click on blog button on the resources drop down menu and enter Number pool to search input",""
"passed","Tue Oct 04 10:35:53 GMT 2022","Tue Oct 04 10:35:59 GMT 2022","6597","","Verify home page button","","Verify home page button","Should click about us button then home page button","Should click about us button then home page button",""
"passed","Tue Oct 04 10:36:36 GMT 2022","Tue Oct 04 10:36:38 GMT 2022","1748","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow products","should open pop-upwindow products",""
"passed","Tue Oct 04 10:36:30 GMT 2022","Tue Oct 04 10:36:32 GMT 2022","2035","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow solutions","should open pop-upwindow solutions",""
"passed","Tue Oct 04 10:34:53 GMT 2022","Tue Oct 04 10:35:05 GMT 2022","12166","","Find price for SMS API for Ukraine","","Find price for SMS API for Ukraine","Check if the price for SMS API for Ukrain will change in Euro.","Check if the price for SMS API for Ukrain will change in Euro.",""
"passed","Tue Oct 04 10:36:08 GMT 2022","Tue Oct 04 10:36:14 GMT 2022","6632","","Verify saving calculator","","Verify saving calculator","Should verify saving calculator with messaging API","Should verify saving calculator with messaging API",""
"passed","Tue Oct 04 10:36:32 GMT 2022","Tue Oct 04 10:36:34 GMT 2022","2027","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow resources","should open pop-upwindow resources",""
"passed","Tue Oct 04 10:36:34 GMT 2022","Tue Oct 04 10:36:36 GMT 2022","1920","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow company","should open pop-upwindow company",""
"passed","Tue Oct 04 10:35:32 GMT 2022","Tue Oct 04 10:35:45 GMT 2022","12216","","Verify clickability buttons","","Verify clickability buttons","Should verify clickability buttons on contact center page","Should verify clickability buttons on contact center page",""
